State,Poll,Source,Start Date,End Date,Sample Size,Sample Type,MoE,Biden,Trump
Pennsylvania,Emerson,https://emersonpolling.reportablenews.com/pr/north-carolina-pennsylvania-and-arizona-2020-tight-races-in-battleground-states-leading-into-party-conventions,2020-08-08 00:00:00,2020-08-10 00:00:00,843,LV,3.4,52.0,43.0
Pennsylvania,CNBC/Change Research (D),https://9b1b5e59-cb8d-4d7b-8493-111f8aa90329.usrfiles.com/ugd/9b1b5e_41d9f1b0245c4c138aa26d496625d005.pdf,2020-08-07 00:00:00,2020-08-09 00:00:00,456,LV,,48.0,44.0
Pennsylvania,CBS News/YouGov,https://www.cbsnews.com/news/biden-leads-wisconsin-pennsylvania-opinion-poll-covid-countrys-direction-09-08-2020/,2020-08-04 00:00:00,2020-08-07 00:00:00,1211,LV,3.7,49.0,43.0
Pennsylvania,Univ. of Wis/YouGov,https://drive.google.com/file/d/1fqH-jLCyrO5lZ6Mugvj_77fXDc9aVHtc/view,2020-07-26 00:00:00,2020-08-06 00:00:00,742,RV,4.9,50.0,41.0
Pennsylvania,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-10,2020-07-24 00:00:00,2020-07-26 00:00:00,382,LV,,48.0,46.0
Pennsylvania,Franklin & Marshall,https://www.fandm.edu/uploads/files/90560429767618014-f-m-poll-release-july-2020.pdf,2020-07-20 00:00:00,2020-07-26 00:00:00,667,RV,5.5,50.0,41.0
Pennsylvania,Gravis,https://www.gravismarketing.com/pa-poll-results/,2020-07-22 00:00:00,2020-07-24 00:00:00,1006,LV,3.1,48.0,45.0
Pennsylvania,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/07/Fox_July-18-20-2020_Complete_Pennsylvania_Topline_July-23-Release.pdf,2020-07-18 00:00:00,2020-07-20 00:00:00,793,RV,3.5,50.0,39.0
Pennsylvania,Rasmussen Reports,https://kittyhawk.amgreatness.com/app/uploads/2020/07/Toplines-American-Greatness-Pennsylvania-July-15-16%5EJ-2020.pdf,2020-07-15 00:00:00,2020-07-16 00:00:00,750,LV,3.5,51.0,46.0
Pennsylvania,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-9,2020-07-10 00:00:00,2020-07-12 00:00:00,743,LV,,50.0,42.0
Pennsylvania,Monmouth,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_PA_071520/,2020-07-09 00:00:00,2020-07-13 00:00:00,401,LV,4.9,52.0,42.0
Pennsylvania,Trafalgar Group (R),https://www.thetrafalgargroup.org/news/pa-pres-0620/,2020-06-29 00:00:00,2020-07-02 00:00:00,1062,LV,2.9,48.0,43.0
Pennsylvania,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-8,2020-06-26 00:00:00,2020-06-28 00:00:00,760,LV,,50.0,44.0
Pennsylvania,Susquehanna,https://www.fox43.com/article/news/biden-leads-trump-by-five-points-in-fox43-susquehanna-polling-and-research-survey/521-3944bc02-f008-49d5-9318-76a5a5436611,2020-06-15 00:00:00,2020-06-23 00:00:00,715,LV,3.8,46.0,41.0
Pennsylvania,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-states-of-play-battleground-wave-7,2020-06-12 00:00:00,2020-06-14 00:00:00,491,LV,,49.0,46.0
Pennsylvania,NY Times/Siena,https://www.nytimes.com/2020/06/25/upshot/poll-2020-biden-battlegrounds.html,2020-06-08 00:00:00,2020-06-16 00:00:00,651,RV,4.2,50.0,40.0
Pennsylvania,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-6,2020-05-29 00:00:00,2020-05-31 00:00:00,579,LV,,46.0,50.0
Pennsylvania,Harper (R),http://www.harperpolling.com/docs/default-source/default-document-library/20-04-harper-polling-pa-statewide-results.pdf,2020-04-21 00:00:00,2020-04-26 00:00:00,644,LV,3.9,49.0,43.0
Pennsylvania,FOX News,https://www.foxnews.com/politics/fox-news-poll-biden-tops-trump-in-michigan-where-gov-whitmer-is-more-popular-than-president,2020-04-18 00:00:00,2020-04-21 00:00:00,803,RV,3.5,50.0,42.0
Pennsylvania,Susquehanna,https://www.fox43.com/article/news/fox43-poll-majority-approve-wolf-biden-leads-trump/521-f7d7fd42-1e39-43fd-864f-0ede71dfc711,2020-04-14 00:00:00,2020-04-20 00:00:00,693,LV,3.7,48.0,42.0
Pennsylvania,Yahoo News/YouGov,https://news.yahoo.com/new-yahoo-news-you-gov-poll-shows-biden-crushing-sanders-in-michigan-and-other-battleground-states-ahead-of-tuesdays-primary-180347138.html,2020-03-06 00:00:00,2020-03-08 00:00:00,,RV,,46.0,40.0
Pennsylvania,Morning Call,https://assets.documentcloud.org/documents/6786445/FULL-RESULTS-Morning-Call-Muhlenberg-College.pdf,2020-02-12 00:00:00,2020-02-20 00:00:00,424,RV,5.5,47.0,47.0
Pennsylvania,Univ. of Wis/YouGov,https://news.wisc.edu/battleground-state-poll-1/,2020-02-11 00:00:00,2020-02-20 00:00:00,1249,LV,3.5,46.0,45.0
Pennsylvania,Quinnipiac,https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656,2020-02-12 00:00:00,2020-02-18 00:00:00,845,RV,3.4,50.0,42.0
Pennsylvania,Morning Call,https://www.muhlenberg.edu/media/contentassets/pdf/academics/polisci/PA_Pres_Nov_2019__Report_%20(1).pdf,2020-11-04 00:00:00,2020-11-09 00:00:00,410,RV,6.0,52.0,43.0
Pennsylvania,NY Times/Siena,https://github.com/ndcohn/battleground-poll-2019/blob/master/PA110419%20Crosstabs.pdf,2020-10-13 00:00:00,2020-10-26 00:00:00,661,LV,4.4,46.0,45.0
Pennsylvania,Quinnipiac,https://poll.qu.edu/pennsylvania/release-detail?ReleaseID=2620,2020-05-09 00:00:00,2020-05-14 00:00:00,978,RV,4.2,53.0,42.0
Pennsylvania,Emerson,https://emersonpolling.reportablenews.com/pr/pennsylvania-2020-biden-leads-democratic-field-in-pennsylvania-biden-and-sanders-lead-trump-by-10-points-in-general-election,2020-03-26 00:00:00,2020-03-28 00:00:00,808,RV,3.4,55.0,45.0
Washington,KOMO/Strategies 360,https://www.scribd.com/document/476985568/Strategies-360-KOMO-News-election-polling,2020-09-08 00:00:00,2020-09-14 00:00:00,501,RV,4.4,58.0,36.0
Washington,KING-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=e1e5b213-5bff-45d9-8c44-33b8a8a42e13,2020-07-22 00:00:00,2020-07-27 00:00:00,534,LV,5.2,62.0,28.0
Washington,KING-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=eb9c7a11-4c4c-469e-aad9-6fb9ce040a5b,2020-05-16 00:00:00,2020-05-19 00:00:00,530,LV,5.5,57.0,31.0
Washington,KING-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=617c3b33-8fa1-472b-84b6-a8f35f8da814,2020-03-04 00:00:00,2020-03-06 00:00:00,992,RV,3.7,57.0,34.0
Alabama,Auburn Univ.,https://www.aum.edu/aum-poll-tommy-tuberville-leads-doug-jones-by-12-points-in-closing-weeks-of-alabama-senate-race/,2020-09-30 00:00:00,2020-10-03 00:00:00,1072,RV,4.0,37.0,57.0
Alabama,AL Daily News/Mason-Dixon,https://www.aldailynews.com/new-alabama-poll-shows-tight-race-for-u-s-senate/,2020-02-04 00:00:00,2020-02-06 00:00:00,625,RV,4.0,38.0,58.0
Wisconsin,Marquette*,https://twitter.com/MULawPoll/status/1313891408521068544,2020-09-30 00:00:00,2020-10-04 00:00:00,700,LV,4.2,46.0,41.0
Wisconsin,CNBC/Change Research (D),https://www.cnbc.com/2020/10/06/2020-election-polls-biden-leads-trump-after-debate-coronavirus-diagnosis.html,2020-10-02 00:00:00,2020-10-04 00:00:00,,LV,,51.0,44.0
Wisconsin,Reuters/Ipsos,https://www.reuters.com/article/us-usa-election-battlegrounds-poll/reuters-ipsos-poll-shows-biden-leading-in-pennsylvania-wisconsin-idUSKBN26Q2ZT,2020-09-29 00:00:00,2020-10-05 00:00:00,601,LV,5.0,50.0,44.0
Wisconsin,Susquehanna,https://amgreatness.com/2020/09/28/trump-biden-in-statistical-dead-heat-in-wisconsin/,2020-09-23 00:00:00,2020-09-26 00:00:00,500,LV,4.3,48.0,46.0
Wisconsin,Trafalgar Group (R)*,https://www.thetrafalgargroup.org/news/wi-pres-0920/,2020-09-22 00:00:00,2020-09-24 00:00:00,1189,LV,2.8,48.0,45.0
Wisconsin,NBC News/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NBC-News_Marist-Poll_WI-Adults-Registered-Voters-NOS-and-Tables_202009251237.pdf,2020-09-20 00:00:00,2020-09-24 00:00:00,727,LV,4.6,54.0,44.0
Wisconsin,CNBC/Change Research (D),https://changeresearch.com/post/states-of-play-battleground-wave-14/,2020-09-18 00:00:00,2020-09-20 00:00:00,571,LV,,51.0,42.0
Wisconsin,Univ. of Wis/YouGov,https://madison.com/news/local/govt-and-politics/new-poll-finds-big-gulf-on-top-issues-between-biden-trump-voters-in-battleground-states/article_e6b561d5-c142-535e-8354-139805638fb6.html,2020-09-10 00:00:00,2020-09-21 00:00:00,664,LV,,50.0,46.0
Wisconsin,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/topline_reuters_wisconsin_state_poll_w1_09_21_2020.pdf,2020-09-11 00:00:00,2020-09-16 00:00:00,609,LV,4.5,48.0,43.0
Wisconsin,ABC News/Wash Post,https://www.langerresearch.com/wp-content/uploads/1216a12020StateBattlegrounds-WIMN.pdf,2020-09-08 00:00:00,2020-09-13 00:00:00,605,LV,4.5,52.0,46.0
Wisconsin,CNN*,http://cdn.cnn.com/cnn/2020/images/09/15/rel1_nc.pdf,2020-09-09 00:00:00,2020-09-13 00:00:00,816,LV,4.2,52.0,42.0
Wisconsin,NY Times/Siena*,https://int.nyt.com/data/documenttools/crosstabs-MN-NH-NV-WI.pdf/80f8e4634fe6f880/full.pdf,2020-09-08 00:00:00,2020-09-10 00:00:00,760,LV,4.7,48.0,43.0
Wisconsin,Emerson,https://emersonpolling.reportablenews.com/pr/wisconsin-2020-biden-maintains-seven-point-lead,2020-09-06 00:00:00,2020-09-08 00:00:00,823,LV,3.4,51.0,44.0
Wisconsin,CNBC/Change Research (D),https://www.cnbc.com/2020/09/09/2020-election-polls-trump-leads-biden-in-az-fl-mi-nc-pa-and-wi.html,2020-09-04 00:00:00,2020-09-06 00:00:00,,LV,,50.0,44.0
Wisconsin,CBS News/YouGov,https://drive.google.com/file/d/1jPWxDDUmxXxfuiGU01I_2liTRiRQrlfS/view,2020-09-02 00:00:00,2020-09-04 00:00:00,978,LV,,50.0,44.0
Wisconsin,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/wisconsin_biden_51_trump_43,2020-09-01 00:00:00,2020-09-02 00:00:00,1000,LV,3.0,51.0,43.0
Wisconsin,Marquette*,https://www.youtube.com/watch?v=qd5LNhdapy0,2020-08-30 00:00:00,2020-09-03 00:00:00,688,LV,,47.0,43.0
Wisconsin,FOX News*,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Wisconsin.pdf,2020-08-29 00:00:00,2020-09-01 00:00:00,801,LV,3.5,50.0,42.0
Wisconsin,CNBC/Change Research (D),https://changeresearch.com/wp-content/uploads/2020/08/CNBC-CR_Battleground-Toplines_Wave-12_August-21-23-Wave-12_-8_21-8_23.pdf,2020-08-21 00:00:00,2020-08-23 00:00:00,925,LV,,49.0,44.0
Wisconsin,Trafalgar Group (R)*,https://www.thetrafalgargroup.org/news/wi-pres-0820/,2020-08-14 00:00:00,2020-08-23 00:00:00,1011,LV,3.0,45.0,46.0
Wisconsin,CNBC/Change Research (D),https://9b1b5e59-cb8d-4d7b-8493-111f8aa90329.usrfiles.com/ugd/9b1b5e_41d9f1b0245c4c138aa26d496625d005.pdf,2020-08-07 00:00:00,2020-08-09 00:00:00,384,LV,,47.0,43.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2020/08/MLSP62ToplinesLV.pdf,2020-08-04 00:00:00,2020-08-09 00:00:00,694,LV,4.2,50.0,46.0
Wisconsin,CBS News/YouGov,https://www.cbsnews.com/news/biden-leads-wisconsin-pennsylvania-opinion-poll-covid-countrys-direction-09-08-2020/,2020-08-04 00:00:00,2020-08-07 00:00:00,1211,LV,3.8,48.0,42.0
Wisconsin,Rasmussen Reports,https://amgreatness.com/2020/08/12/wisconsin-poll-shows-biden-with-lead/,2020-08-05 00:00:00,2020-08-06 00:00:00,750,LV,,55.0,43.0
Wisconsin,Univ. of Wis/YouGov,https://drive.google.com/file/d/1fqH-jLCyrO5lZ6Mugvj_77fXDc9aVHtc/view,2020-07-26 00:00:00,2020-08-06 00:00:00,734,RV,4.9,49.0,43.0
Wisconsin,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-10,2020-07-24 00:00:00,2020-07-26 00:00:00,392,LV,,48.0,43.0
Wisconsin,Gravis,https://www.gravismarketing.com/wisconsin-poll-results/,2020-07-22 00:00:00,2020-07-22 00:00:00,796,RV,3.5,50.0,42.0
Wisconsin,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-9,2020-07-10 00:00:00,2020-07-12 00:00:00,601,LV,,48.0,42.0
Wisconsin,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-8,2020-06-26 00:00:00,2020-06-28 00:00:00,502,LV,,51.0,43.0
Wisconsin,Trafalgar Group (R),https://drive.google.com/file/d/1F24BlPxjI_qqhY_aevu_2b0vDRTaJQHj/view,2020-06-23 00:00:00,2020-06-25 00:00:00,1021,LV,3.0,45.0,46.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2020/06/MLSP61Toplines.pdf,2020-06-14 00:00:00,2020-06-18 00:00:00,805,RV,4.3,49.0,41.0
Wisconsin,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-states-of-play-battleground-wave-7,2020-06-12 00:00:00,2020-06-14 00:00:00,231,LV,,48.0,44.0
Wisconsin,NY Times/Siena,https://www.nytimes.com/2020/06/25/upshot/poll-2020-biden-battlegrounds.html,2020-06-08 00:00:00,2020-06-15 00:00:00,655,RV,4.3,49.0,38.0
Wisconsin,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Fox_May-30-June-2-2020_Complete_Wisconsin_Topline_June-3-Release.pdf,2020-05-30 00:00:00,2020-06-02 00:00:00,801,RV,3.5,49.0,40.0
Wisconsin,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-6,2020-05-29 00:00:00,2020-05-31 00:00:00,382,LV,,45.0,45.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2020/05/MLSP60Toplines.pdf,2020-05-03 00:00:00,2020-05-07 00:00:00,811,RV,4.0,46.0,43.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2020/04/MLSP59Toplines.pdf,2020-03-24 00:00:00,2020-03-29 00:00:00,813,RV,4.2,48.0,45.0
Wisconsin,PPP (D),https://www.publicpolicypolling.com/wp-content/uploads/2020/03/WisconsinGeneralResults.pdf,2020-03-10 00:00:00,2020-03-11 00:00:00,1727,RV,2.4,48.0,45.0
Wisconsin,Yahoo News/YouGov,https://news.yahoo.com/new-yahoo-news-you-gov-poll-shows-biden-crushing-sanders-in-michigan-and-other-battleground-states-ahead-of-tuesdays-primary-180347138.html,2020-03-06 00:00:00,2020-03-08 00:00:00,,RV,,44.0,42.0
Wisconsin,Marquette,https://law.marquette.edu/poll/2020/02/27/new-marquette-law-school-poll-finds-sanders-support-rising-among-democrats-and-tight-races-between-trump-and-each-democratic-candidate-for-president/,2020-02-19 00:00:00,2020-02-23 00:00:00,1000,RV,3.6,46.0,46.0
Wisconsin,Univ. of Wis/YouGov,https://news.wisc.edu/battleground-state-poll-1/,2020-02-11 00:00:00,2020-02-20 00:00:00,936,RV,4.0,45.0,43.0
Wisconsin,Quinnipiac,https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656,2020-02-12 00:00:00,2020-02-18 00:00:00,823,RV,3.4,42.0,49.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,2020-01-08 00:00:00,2020-01-12 00:00:00,800,RV,4.1,49.0,45.0
Wisconsin,FOX News,https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin,2020-01-05 00:00:00,2020-01-08 00:00:00,1504,RV,2.5,46.0,41.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf,2020-12-03 00:00:00,2020-12-08 00:00:00,800,RV,4.1,47.0,46.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf,2020-11-13 00:00:00,2020-11-17 00:00:00,801,RV,4.1,44.0,47.0
Wisconsin,NY Times/Siena,https://github.com/ndcohn/battleground-poll-2019/blob/master/WI110419%20Crosstabs.pdf,2020-10-13 00:00:00,2020-10-26 00:00:00,651,LV,4.4,46.0,44.0
Wisconsin,Marquette,https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/,2020-10-13 00:00:00,2020-10-17 00:00:00,799,RV,4.2,50.0,44.0
Wisconsin,FOX News,https://www.foxnews.com/politics/fox-news-poll-results-september-29-october-2-2019-wisconsin,2020-09-29 00:00:00,2020-10-02 00:00:00,1512,RV,2.5,48.0,39.0
Wisconsin,Marquette,https://law.marquette.edu/poll/wp-content/uploads/2019/09/MLSP53Toplines.pdf,2020-08-25 00:00:00,2020-08-29 00:00:00,800,RV,3.9,51.0,42.0
Wisconsin,Emerson,https://emersonpolling.reportablenews.com/pr/wisconsin-2020-bernie-sanders-leads-democratic-field-trump-competitive-in-general-election,2020-03-15 00:00:00,2020-03-17 00:00:00,775,RV,3.5,54.0,46.0
New Hampshire,Emerson,https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-biden-leads-trump-independents-splitting-their-ticket,2020-09-30 00:00:00,2020-10-01 00:00:00,700,LV,3.6,52.0,45.0
New Hampshire,UNH*,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1609&context=survey_center_polls,2020-09-24 00:00:00,2020-09-28 00:00:00,972,LV,3.1,53.0,44.0
New Hampshire,Rasmussen Reports,https://amgreatness.com/2020/09/29/biden-leads-in-new-hampshire-poll/,2020-09-23 00:00:00,2020-09-25 00:00:00,850,LV,4.0,56.0,42.0
New Hampshire,UMass Lowell,https://www.uml.edu/docs/2020-NH-Sept-Topline_tcm18-330589.pdf,2020-09-17 00:00:00,2020-09-25 00:00:00,657,LV,4.6,53.0,44.0
New Hampshire,NY Times/Siena*,https://int.nyt.com/data/documenttools/crosstabs-MN-NH-NV-WI.pdf/80f8e4634fe6f880/full.pdf,2020-09-08 00:00:00,2020-09-11 00:00:00,445,LV,5.5,45.0,42.0
New Hampshire,St. Anselm,https://htv-prod-media.s3.amazonaws.com/files/saintanselmpollaugust20-1597956431.pdf,2020-08-15 00:00:00,2020-08-17 00:00:00,1042,RV,3.0,51.0,43.0
New Hampshire,UNH,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1599&context=survey_center_polls,2020-07-16 00:00:00,2020-07-28 00:00:00,1893,LV,,53.0,40.0
New Hampshire,St. Anselm,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/June%202020%20Survey.pdf,2020-06-13 00:00:00,2020-06-16 00:00:00,1072,RV,3.0,49.0,42.0
New Hampshire,UNH,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1599&context=survey_center_polls,2020-06-18 00:00:00,2020-06-22 00:00:00,936,LV,,52.0,39.0
New Hampshire,UNH,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1599&context=survey_center_polls,2020-05-14 00:00:00,2020-05-18 00:00:00,790,LV,,44.0,46.0
New Hampshire,St. Anselm,https://htv-prod-media.s3.amazonaws.com/files/stanselmpollapril2020-1588192419.pdf,2020-04-23 00:00:00,2020-04-27 00:00:00,820,RV,3.4,50.0,42.0
New Hampshire,UNH,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1575&context=survey_center_polls,2020-02-19 00:00:00,2020-02-25 00:00:00,576,LV,4.1,44.0,46.0
New Hampshire,NBC News/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/01/NBC-News_Marist-Poll_NH-NOS-and-Tables_2001241124.pdf,2020-01-20 00:00:00,2020-01-23 00:00:00,2223,RV,2.6,51.0,43.0
New Hampshire,WHDH/Emerson,https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-sanders-jumps-to-lead-buttigieg-surges-while-warren-and-biden-falter,2020-11-22 00:00:00,2020-11-26 00:00:00,547,RV,4.2,52.0,48.0
New Hampshire,St. Anselm,https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/1119%20Topline%20Summary.pdf,2020-11-13 00:00:00,2020-11-18 00:00:00,512,RV,4.3,51.0,43.0
New Hampshire,Emerson,http://emersonpolling.com/2019/09/10/sanders-slips-in-new-hampshire-biden-warren-take-lead/,2020-09-06 00:00:00,2020-09-09 00:00:00,1041,RV,2.9,55.0,45.0
New Hampshire,Emerson,http://emersonpolling.com/2019/02/23/bernie-takes-early-lead-in-new-hampshire-democratic-primary-potential-tight-us-senate-race-if-gov-sununu-takes-on-sen-shaheen/,2020-02-21 00:00:00,2020-02-22 00:00:00,910,RV,3.2,55.0,45.0
Nebraska CD2,NY Times/Siena,https://int.nyt.com/data/documenttools/ne020920-crosstabs/38a068b5366d4c08/full.pdf,2020-09-25 00:00:00,2020-09-27 00:00:00,420,LV,5.3,48.0,41.0
National,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/10/Fox_October-3-6-2020_Complete_National_Topline_October-7-Release-1.pdf,2020-10-03 00:00:00,2020-10-06 00:00:00,1012,LV,3.0,53.0,43.0
National,Economist/YouGov,https://docs.cdn.yougov.com/1qb5j6pdqd/econTabReport.pdf,2020-10-04 00:00:00,2020-10-06 00:00:00,1364,LV,4.8,51.0,42.0
National,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_07_2020.pdf,2020-10-02 00:00:00,2020-10-06 00:00:00,882,LV,3.8,52.0,40.0
National,CNBC/Change Research (D)*,https://www.cnbc.com/2020/10/05/biden-leads-by-greatest-margin-yet-nationally-according-to-cnbc/change-research-states-of-play-poll.html,2020-10-02 00:00:00,2020-10-04 00:00:00,2167,LV,2.1,52.0,42.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_oct07,2020-09-30 00:00:00,2020-10-06 00:00:00,2500,LV,2.0,52.0,40.0
National,JTN/RMG Research*,https://justthenews.com/politics-policy/polling/bidens-lead-over-trump-grows-following-debate-covid-diagnosis,2020-10-01 00:00:00,2020-10-03 00:00:00,763,LV,3.5,51.0,43.0
National,SurveyUSA,https://cheddar.com/media/election-2020-biden-trump-cheddar-poll,2020-10-01 00:00:00,2020-10-04 00:00:00,1114,LV,3.6,53.0,43.0
National,CNN,https://www.cnn.com/2020/10/06/politics/cnn-poll-biden-trump-2020-election/index.html,2020-10-01 00:00:00,2020-10-04 00:00:00,1001,LV,3.6,57.0,41.0
National,IBD/TIPP,https://www.investors.com/news/joe-biden-lead-over-donald-trump-narrows-after-presidential-debate-ibd-tipp-poll/,2020-09-30 00:00:00,2020-10-01 00:00:00,1030,LV,3.5,49.0,46.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/519405-poll-trump-trail-biden-by-7-points-in-post-debate-national,2020-09-30 00:00:00,2020-10-01 00:00:00,928,RV,3.2,47.0,40.0
National,NBC News/Wall St. Jrnl,https://www.documentcloud.org/documents/7221894-200781-NBCWSJ-October-Post-Debate-Poll-1b.html,2020-09-30 00:00:00,2020-10-01 00:00:00,800,RV,3.5,53.0,39.0
National,USC Dornsife,https://election.usc.edu/,2020-09-24 00:00:00,2020-10-07 00:00:00,5114,LV,,53.0,42.0
National,CNBC/Change Research (D),https://www.cnbc.com/2020/10/01/biden-leads-polls-voters-say-he-beat-trump-in-first-debate.html,2020-09-29 00:00:00,2020-09-30 00:00:00,925,LV,3.2,54.0,41.0
National,Economist/YouGov,https://docs.cdn.yougov.com/9k0tqsqgue/econTabReport.pdf,2020-09-27 00:00:00,2020-09-30 00:00:00,1350,LV,4.0,50.0,42.0
National,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_general_election_tracker_09_30_2020.pdf,2020-09-25 00:00:00,2020-09-29 00:00:00,864,LV,3.8,51.0,42.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_sep30,2020-09-23 00:00:00,2020-09-29 00:00:00,3000,LV,2.0,51.0,43.0
National,Monmouth*,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_092820/,2020-09-24 00:00:00,2020-09-27 00:00:00,809,LV,3.5,50.0,45.0
National,JTN/RMG Research*,https://justthenews.com/politics-policy/polling/biden-continues-steady-six-point-lead-against-trump-among-likely-voters,2020-09-24 00:00:00,2020-09-26 00:00:00,752,LV,3.6,51.0,45.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/518605-what-americas-thinking-september-28-2020,2020-09-22 00:00:00,2020-09-25 00:00:00,2768,RV,1.9,45.0,40.0
National,NY Times/Siena,https://int.nyt.com/data/documenttools/us0920-crosstabs/e9c96a16d8951e8c/full.pdf,2020-09-22 00:00:00,2020-09-24 00:00:00,950,LV,3.5,49.0,41.0
National,Harvard-Harris,https://thehill.com/homenews/campaign/518600-biden-holds-narrow-lead-over-trump-ahead-of-first-debate-poll?amp&__twitter_impression=true,2020-09-22 00:00:00,2020-09-24 00:00:00,,LV,,47.0,45.0
National,Emerson,https://emersonpolling.reportablenews.com/pr/september-2020-biden-holds-his-lead-voters-split-on-supreme-court-nominee-timetable,2020-09-22 00:00:00,2020-09-23 00:00:00,1000,LV,3.0,48.0,44.0
National,ABC News/Wash Post,https://www.washingtonpost.com/politics/poll-trump-biden-post-abc/2020/09/26/940ef678-ff7f-11ea-9ceb-061d646d9c67_story.html,2020-09-21 00:00:00,2020-09-24 00:00:00,739,LV,4.0,54.0,44.0
National,Economist/YouGov,https://docs.cdn.yougov.com/b8ow3q7r1e/econTabReport.pdf,2020-09-20 00:00:00,2020-09-22 00:00:00,1124,LV,3.6,49.0,42.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/518048-poll-biden-lead-trump-by-5-points-nationwide,2020-09-19 00:00:00,2020-09-21 00:00:00,2803,RV,1.9,45.0,40.0
National,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_general_election_tracker_09_25_2020_.pdf,2020-09-18 00:00:00,2020-09-22 00:00:00,889,LV,3.7,50.0,42.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_sep23,2020-09-16 00:00:00,2020-09-22 00:00:00,3000,LV,2.5,48.0,47.0
National,CNBC/Change Research (D)*,https://changeresearch.com/wp-content/uploads/2020/09/CNBC-CR_National-Toplines-Wave-14-Wave-14_-9_18-20.pdf,2020-09-18 00:00:00,2020-09-20 00:00:00,1430,LV,2.6,51.0,42.0
National,Quinnipiac,https://poll.qu.edu/images/polling/us/us09232020_ufth12.pdf,2020-09-17 00:00:00,2020-09-21 00:00:00,1302,LV,2.7,52.0,42.0
